_id,uuid,provider_Id,provider_name
5885864dbebc58b0fe92b093029e9be0,JKTVRNGNM,4,Profamilia (Santo Domingo/Santo Domingo Norte)
5885864dbebc58b0fe92b093029e5ab6,RMBMYS78*,4,Profamilia (Santo Domingo/Santo Domingo Norte)
5885864dbebc58b0fe92b093029dec4f,7H0XYNSSR,4,Profamilia (Santo Domingo/Santo Domingo Norte)
5885864dbebc58b0fe92b093029e1dfb,1D6FEGB89,15,UCNE
5885864dbebc58b0fe92b093029e0790,ETJ3BT9R6,15,UCNE
5885864dbebc58b0fe92b093029dba25,V9BZM9N3~,4,Profamilia (Santo Domingo/Santo Domingo Norte)
5885864dbebc58b0fe92b093029dc504,JV4CT6Y0B,15,UCNE
5885864dbebc58b0fe92b093029d9431,R6M8WF0N6,15,UCNE
5885864dbebc58b0fe92b093029d7f2d,7KE4VVBHE,4,Profamilia (Santo Domingo/Santo Domingo Norte)
5885864dbebc58b0fe92b093029bc319,ZVZ4HKT28,15,UCNE
5885864dbebc58b0fe92b093029d39d8,V32X5YVX8,4,Profamilia (Santo Domingo/Santo Domingo Norte)
5885864dbebc58b0fe92b093029d5a6c,GMVSP3TJV,15,UCNE
5885864dbebc58b0fe92b093029d2c8a,P5XD4K6N5,15,UCNE
5885864dbebc58b0fe92b093029cc9cd,E6RXD4VHF,4,Profamilia (Santo Domingo/Santo Domingo Norte)
5885864dbebc58b0fe92b093029d078d,D556DZ5XD,15,UCNE
5885864dbebc58b0fe92b093029b21b7,Y9S29PYE6,15,UCNE
5885864dbebc58b0fe92b093029c8e3b,B10M8TGPW,15,UCNE
5885864dbebc58b0fe92b093029ca44e,K7QN9TWZ8,15,UCNE
5885864dbebc58b0fe92b093029a740a,Z4V1BMSK3,15,UCNE
5885864dbebc58b0fe92b093029c6dcb,SR9GV5V9*,15,UCNE
5885864dbebc58b0fe92b093029c6382,CFV7SZCDS,4,Profamilia (Santo Domingo/Santo Domingo Norte)
5885864dbebc58b0fe92b0930299d1e1,FAM6RKWC5,15,UCNE
5885864dbebc58b0fe92b093029bedf8,KXQ4ZA61Q,4,Profamilia (Santo Domingo/Santo Domingo Norte)
5885864dbebc58b0fe92b093029b9c1e,RVGDKBP1~,4,Profamilia (Santo Domingo/Santo Domingo Norte)
5885864dbebc58b0fe92b0930298ea27,GK9B58P14,15,UCNE
5885864dbebc58b0fe92b093029bb0f9,79Q0MJ3D9,15,UCNE
5885864dbebc58b0fe92b093029b60a4,PM0Z2BVRN,4,Profamilia (Santo Domingo/Santo Domingo Norte)
5885864dbebc58b0fe92b09302978808,B1YJF04HH,15,UCNE
5885864dbebc58b0fe92b093029b5a1e,G0FDEFMBD,15,UCNE
5885864dbebc58b0fe92b093029522ad,2351CYJSJ,15,UCNE
5885864dbebc58b0fe92b093029af3ed,YMHZM2GNE,15,UCNE
5885864dbebc58b0fe92b093029afceb,5H392N12Q,15,UCNE
5885864dbebc58b0fe92b093029a5030,TD9YBJV18,15,UCNE
5885864dbebc58b0fe92b093029a15d7,0WB32HQ5T,15,UCNE
5885864dbebc58b0fe92b093029998ec,QZ3KK7VF~,15,UCNE
5885864dbebc58b0fe92b0930299da3b,2ABT7QSWF,15,UCNE
5885864dbebc58b0fe92b0930292a874,N9BYESYC1,15,UCNE
5885864dbebc58b0fe92b0930298a0cb,EESVEWMRK,15,UCNE
5885864dbebc58b0fe92b0930299353e,9FVSM1HKB,15,UCNE
5885864dbebc58b0fe92b09302994f40,1PVF5JWZD,15,UCNE
5885864dbebc58b0fe92b093028ff9c7,2BEDR80E6,15,UCNE
5885864dbebc58b0fe92b0930298f19c,6C6BQZG91,15,UCNE
5885864dbebc58b0fe92b0930297eb8d,56SBPF60S,15,UCNE
5885864dbebc58b0fe92b093029814c4,Z9AYXF9B0,15,UCNE
5885864dbebc58b0fe92b0930295dfec,6SWJ1WQEK,15,UCNE
5885864dbebc58b0fe92b0930297376b,VRG239QDQ,15,UCNE
5885864dbebc58b0fe92b0930296a0ca,GTAW78153,6,IDDI (Santo Domingo/Distrito Nacional)
